author_id, first_publication_year, number_of_publications, number_of_first_author_publications, number_of_coauthors, affiliation 
4513, 2006, 105, 12, 477, 
4514, 2008, 62, 8, 281, 
4515, 2010, 4, 2, 16, 
4516, 2000, 40, 9, 144, University of British Columbia Vancouver Canada
4517, 2009, 58, 15, 251, Northeastern University School of Computer Science and Engineering Shenyang China
4518, 1995, 269, 23, 1176, 
4519, 2011, 30, 14, 129, 
4520, 2008, 15, 4, 99, Google
4521, 2011, 9, 3, 49, 
4522, 2009, 34, 20, 160, Boise State University ID USA
4523, 2004, 25, 5, 95, 
4524, 2011, 48, 23, 185, University of California Riverside USA
4525, 2007, 7, 7, 13, University of Waterloo Canada
4526, 1972, 82, 17, 226, University of Waterloo Canada
4527, 1998, 144, 49, 642, 
4528, 1999, 144, 41, 663, 
4529, 2011, 12, 3, 68, 
4530, 2008, 7, 6, 18, 
4531, 2005, 107, 39, 398, Technion - Israel Institute of Technology Haifa Israel
4532, 2000, 13, 5, 95, Huawei America Research Santa Clara CA USA
4533, 1990, 245, 39, 826, University of Pennsylvania Philadelphia PA USA
4534, 2006, 45, 8, 167, Duke University Durham NC USA
4535, 1981, 123, 42, 372, University of Pennsylvania Philadelphia PA USA
4536, 2009, 18, 13, 66, Hewlett Packard Enterprise Labs Palo Alto CA USA
4537, 2009, 5, 5, 13, Duke University
4538, 1994, 185, 62, 792, 
4539, 2007, 42, 12, 192, 
4540, 2003, 86, 13, 341, McGill University
4541, 2001, 288, 139, 1275, 
4542, 2004, 105, 17, 460, The Pennsylvania State University University Park PA USA
4543, 2007, 3, 0, 13, 
4544, 2008, 10, 4, 30, 
4545, 2004, 16, 8, 71, 
4546, 2010, 8, 3, 43, 
4547, 2004, 47, 10, 318, University of California at Los Angeles CA USA
4548, 2009, 41, 4, 150, 
4549, 2002, 63, 0, 238, 
4550, 2002, 7, 5, 16, 
4551, 1980, 108, 22, 313, Uppsala University Sweden
4552, 2011, 11, 4, 70, 
4553, 1990, 123, 9, 486, IIT Bombay India
4554, 2007, 14, 9, 44, University of British Columbia Canada
4555, 1982, 76, 14, 210, Birkbeck University of London UK
4556, 2005, 4, 0, 21, 
4557, 1993, 22, 4, 115, 
4558, 2006, 17, 13, 96, National and Kapodistrian University of Athens Greece
4559, 1991, 23, 7, 127, 
4560, 1998, 11, 1, 79, 
4561, 2011, 2, 0, 17, 
4562, 2011, 2, 0, 18, 
4563, 1997, 38, 9, 168, 
4564, 1997, 32, 12, 197, University of Wisconsin-Madison Madison USA
4565, 1998, 24, 2, 153, 
4566, 2000, 43, 20, 213, 
4567, 1997, 40, 10, 152, University of Mannheim Germany
4568, 2001, 52, 5, 191, 
4569, 1996, 51, 11, 230, University of Wisconsin-Madison Madison USA
4570, 2011, 14, 10, 56, 
4571, 2007, 147, 27, 686, 
4572, 2006, 40, 6, 211, 
4573, 1993, 92, 50, 381, 
4574, 2008, 3, 0, 20, 
4575, 2006, 101, 13, 563, Fluminense Federal University Niterói Institute of Computing Rio de Janeiro Brazil
4576, 1982, 317, 37, 1179, INRIA France
4577, 1998, 93, 19, 439, 
4578, 1989, 194, 13, 942, Federal University of Rio de Janeiro Brazil
4579, 1972, 47, 27, 156, 
4580, 2011, 2, 0, 10, 
4581, 2010, 12, 6, 49, Stanford University CA USA
4582, 2008, 15, 8, 57, 
4583, 1991, 217, 64, 1015, 
4584, 2007, 10, 8, 24, 
4585, 2000, 116, 41, 324, Stony Brook University USA
4586, 2010, 7, 3, 30, 
4587, 1998, 77, 16, 299, Sungkyunwwan University (SKKU) Suwon Korea
4588, 1994, 78, 7, 291, 
4589, 1999, 64, 11, 246, 
4590, 2011, 13, 7, 75, Technical University Munich Germany
4591, 2009, 3, 0, 9, 
4592, 2010, 11, 4, 73, University of Toronto Canada
4593, 2008, 6, 1, 51, 
4594, 2002, 19, 7, 74, 
4595, 2003, 40, 17, 171, University of California Riverside USA
4596, 2002, 29, 7, 124, 
4597, 2001, 34, 9, 143, 
4598, 1997, 254, 25, 1178, University of Sao Paulo Brazil
4599, 1989, 788, 247, 3326, 
4600, 2011, 30, 14, 116, 
4601, 2007, 28, 3, 128, 
4602, 2008, 26, 16, 131, 
4603, 1990, 56, 18, 162, 
4604, 2007, 53, 33, 255, Graz University of Technology Austria
4605, 1983, 75, 30, 207, National University of Singapore
4606, 2005, 21, 9, 86, 
4607, 1990, 126, 42, 404, University of Warwick UK
4608, 1995, 92, 34, 311, University of Copenhagen Denmark
4609, 1984, 262, 72, 892, New York University Courant Institute of Mathematical Sciences
4610, 2008, 24, 8, 124, 
4611, 1998, 51, 17, 176, University of Edinburgh UK
4612, 2003, 16, 9, 75, 
4613, 2004, 90, 17, 372, Missouri University of Science and Technology Rolla MO USA
4614, 1999, 94, 21, 395, University of Helsinki Finland
4615, 2005, 40, 15, 182, Hamad bin Khalifa University (HBKU) Qatar Computing Research Institute (QCRI) Doha Qatar
4616, 2011, 23, 10, 125, 
4617, 2008, 17, 10, 61, University of British Columbia (UBC)
4618, 1979, 124, 32, 387, 
4619, 2006, 61, 12, 324, Carnegie Mellon University
4620, 2009, 26, 8, 149, 
4621, 2010, 20, 5, 80, 
4622, 2009, 12, 6, 51, 
4623, 2008, 7, 4, 29, 
4624, 1999, 60, 8, 179, Federal University of Rio Grande do Sul Institute of Informatics
4625, 2002, 44, 25, 172, 
4626, 2006, 21, 2, 148, 
4627, 1989, 222, 25, 750, National University of Singapore (NUS) Department of Computer Science
4628, 2009, 17, 14, 128, 
4629, 1993, 139, 25, 618, University of California Berkeley USA
4630, 1976, 237, 78, 1067, University of California Berkeley Computer Science Division
4631, 1991, 259, 105, 1022, 
4632, 2009, 14, 10, 35, 
4633, 2007, 66, 33, 177, 
4634, 1989, 108, 12, 254, 
4635, 2003, 15, 15, 42, 
4636, 2006, 23, 5, 81, 
4637, 2010, 39, 16, 196, 
4638, 2011, 6, 4, 19, 
4639, 2005, 152, 12, 578, 
4640, 1987, 249, 32, 866, University of Melbourne Australia
4641, 2010, 5, 5, 19, University of Wisconsin-Madison Computer Sciences Department USA
4642, 2008, 18, 9, 72, 
4643, 2000, 153, 28, 646, 
4644, 1978, 160, 68, 474, Microsoft
4645, 2007, 30, 11, 133, The Ohio State University
4646, 2011, 4, 1, 25, 
4647, 2011, 4, 1, 23, 
4648, 2011, 5, 0, 26, 
4649, 2011, 20, 12, 90, University of Edinburgh UK
4650, 2011, 28, 8, 129, University of California San Diego USA
4651, 2011, 6, 5, 13, University of Salzburg Austria
4652, 2003, 34, 13, 98, 
4653, 2011, 33, 20, 128, Bar Ilan University Ramat Gan Israel
4654, 2004, 72, 21, 321, Drexel University
4655, 1994, 234, 74, 1050, 
4656, 2011, 7, 0, 36, 
4657, 2010, 26, 10, 119, 
4658, 2001, 107, 15, 523, 
4659, 2006, 13, 11, 48, 
4660, 2006, 20, 5, 103, 
4661, 1980, 99, 26, 404, Lehigh University Bethlehem PA USA
4662, 2007, 8, 4, 38, 
4663, 2009, 9, 5, 43, 
4664, 1999, 245, 23, 989, 
4665, 2009, 17, 13, 59, 
4666, 1990, 179, 42, 575, Boston University USA
4667, 2007, 13, 6, 44, 
4668, 2006, 45, 22, 192, 
4669, 2005, 27, 16, 115, 
4670, 1970, 14, 9, 37, 
4671, 2008, 18, 10, 67, 
4672, 1987, 146, 7, 423, National University of Singapore (NUS)
4673, 2009, 18, 16, 62, Google Inc. Mountain View CA USA
4674, 2008, 14, 11, 38, 
4675, 2007, 56, 28, 179, Delft University of Technology The Netherlands
4676, 1998, 148, 35, 433, Braunschweig University of Technology Germany
4677, 1992, 35, 18, 131, Microsoft Research
4678, 2008, 16, 8, 80, 
4679, 2008, 8, 7, 32, 
4680, 2003, 14, 10, 51, University of Waterloo Canada
4681, 2007, 71, 24, 306, 
4682, 2002, 123, 22, 470, University of Calabria Cosenza Italy
4683, 2008, 21, 6, 65, 
4684, 2010, 29, 11, 145, Temple University Department of Computer and Information Sciences
4685, 1997, 180, 117, 411, 
4686, 2009, 17, 8, 80, 
4687, 2010, 17, 4, 88, 
4688, 2005, 55, 26, 220, Carnegie Mellon University Pittsburgh USA
4689, 2010, 17, 10, 60, 
4690, 2009, 81, 16, 315, 
4691, 2001, 144, 52, 477, Microsoft Research
4692, 2001, 143, 10, 797, 
4693, 2001, 38, 16, 157, 
4694, 1995, 504, 151, 2203, 
4695, 2010, 79, 41, 326, 
4696, 2010, 43, 8, 275, 
4697, 1995, 292, 26, 1560, University of California Berkeley USA
4698, 2003, 56, 19, 215, 
4699, 1997, 240, 76, 982, 
4700, 2008, 42, 12, 211, 
4701, 2005, 61, 27, 264, 
4702, 2009, 38, 19, 124, 
4703, 2007, 12, 8, 41, 
4704, 2000, 82, 22, 284, University of Colorado Denver CO USA
4705, 2005, 14, 6, 64, 
4706, 2000, 141, 40, 498, 
4707, 2012, 22, 1, 91, 
4708, 2003, 63, 27, 188, University of Waterloo ON Canada
4709, 1997, 45, 8, 213, Hewlett-Packard Labs
4710, 2011, 94, 21, 511, 
4711, 1989, 37, 12, 156, 
4712, 1990, 312, 126, 1440, 
4713, 2007, 31, 9, 98, 
4714, 2012, 8, 6, 35, 
4715, 2003, 84, 22, 308, University of Maryland College Park
4716, 1983, 275, 41, 895, Brown University Providence USA
4717, 2003, 51, 0, 209, 
4718, 1993, 165, 31, 602, University of California Irvine Department of Informatics
4719, 2005, 14, 4, 58, ETH Zurich Switzerland
4720, 2007, 5, 2, 22, 
4721, 2011, 4, 0, 20, 
4722, 1998, 52, 15, 268, 
4723, 2003, 37, 12, 227, 
4724, 2011, 19, 3, 95, 
4725, 2008, 37, 12, 176, University at Buffalo
4726, 2003, 36, 26, 120, L3S Research Center Hanover Germany
4727, 1998, 154, 38, 748, 
4728, 1992, 398, 148, 1563, 
4729, 2008, 75, 14, 335, 
4730, 2009, 18, 6, 66, 
4731, 2008, 10, 2, 52, 
4732, 2012, 3, 2, 7, 
4733, 2011, 15, 10, 45, 
4734, 2010, 27, 11, 159, 
4735, 2009, 23, 8, 77, Google Switzerland
4736, 2011, 25, 7, 122, 
4737, 2006, 13, 11, 34, 
4738, 2011, 10, 8, 32, University of Waterloo Department of Computer Science ON Canada
4739, 2009, 11, 8, 39, 
4740, 2011, 33, 12, 146, 
4741, 1992, 54, 21, 198, York University Toronto Canada
4742, 2012, 5, 5, 17, 
4743, 2011, 14, 2, 39, 
4744, 1999, 241, 70, 1132, 
4745, 2012, 5, 0, 42, 
4746, 2009, 16, 8, 94, Humboldt University of Berlin Germany
4747, 2012, 8, 3, 42, Technische Universität München
4748, 2012, 18, 7, 64, University of Chicago
4749, 2005, 7, 3, 21, 
4750, 2009, 14, 6, 51, 
4751, 2006, 26, 12, 112, 
4752, 2001, 128, 31, 592, 
4753, 1993, 164, 43, 715, 
4754, 2002, 114, 29, 371, University of Utah School of Computing
4755, 2011, 8, 4, 25, 
4756, 2002, 37, 13, 151, 
4757, 2004, 20, 1, 82, 
4758, 2011, 18, 8, 76, 
4759, 2006, 19, 5, 89, 
4760, 2005, 65, 30, 202, 
4761, 2011, 50, 9, 282, University of Chicago IL USA
4762, 2011, 32, 17, 121, 
4763, 2005, 63, 22, 252, University of Washington Seattle
4764, 2012, 14, 3, 58, 
4765, 1993, 107, 19, 358, Cornell University Ithaca USA
4766, 2012, 16, 6, 71, 
4767, 2011, 18, 6, 76, 
4768, 2009, 54, 24, 240, Beihang University Beijing China
4769, 1999, 97, 23, 424, Northeastern University Shenyang China
4770, 2012, 13, 5, 53, 
4771, 2003, 75, 14, 329, Northeastern University School of Computer Science and Engineering Shenyang China
4772, 2012, 13, 1, 60, 
4773, 2012, 27, 14, 120, 
4774, 2011, 20, 9, 84, 
4775, 2005, 48, 15, 184, Imperial College Imperial
4776, 2001, 50, 4, 292, 
4777, 1996, 54, 4, 266, Swiss Federal Institute of Technology in Lausanne Switzerland
4778, 2001, 33, 9, 160, 
4779, 2009, 12, 4, 81, 
4780, 2002, 140, 38, 704, 
4781, 1985, 350, 21, 2144, University of Maryland College Park USA
4782, 2011, 61, 11, 321, 
4783, 2010, 8, 6, 27, 
4784, 2012, 13, 5, 53, Saarland University Computer Science Department
4785, 2012, 11, 3, 39, 
4786, 2011, 16, 3, 85, 
4787, 2005, 16, 7, 74, 
4788, 1994, 176, 113, 873, Stony Brook University
4789, 1995, 62, 4, 382, 
4790, 2011, 12, 7, 53, 
4791, 2011, 13, 11, 45, 
4792, 2011, 14, 9, 57, 
4793, 1998, 34, 18, 101, 
4794, 1986, 207, 35, 774, Stanford University Computer Science Department
4795, 2005, 26, 6, 103, Australian National University Acton USA
4796, 2012, 6, 2, 40, 
4797, 1991, 151, 53, 752, 
4798, 2001, 72, 31, 241, 
4799, 2007, 87, 28, 447, 
4800, 2006, 8, 2, 45, 
4801, 2003, 64, 10, 323, 
4802, 2006, 27, 6, 135, 
4803, 2005, 23, 11, 90, 
4804, 2009, 17, 9, 84, Dresden University of Technology Germany
4805, 2006, 40, 6, 211, 
4806, 2012, 3, 2, 16, 
4807, 2005, 23, 9, 94, 
4808, 2007, 6, 0, 31, 
4809, 2011, 4, 2, 23, 
4810, 2003, 9, 4, 31, 
4811, 2000, 7, 0, 24, 
4812, 2012, 8, 3, 41, 
4813, 2005, 15, 8, 64, 
4814, 2005, 8, 2, 57, 
4815, 2007, 4, 0, 30, 
4816, 2003, 22, 14, 124, 
4817, 2005, 14, 1, 83, 
4818, 2004, 32, 9, 167, 
4819, 2005, 27, 6, 134, 
4820, 2005, 4, 2, 16, 
4821, 1993, 157, 27, 622, IBM
4822, 2012, 6, 2, 58, 
4823, 2003, 19, 9, 78, 
4824, 2012, 8, 0, 79, 
4825, 2010, 13, 9, 47, 
4826, 2009, 35, 24, 120, 
4827, 2005, 40, 10, 138, Aalborg University Denmark
4828, 2010, 13, 8, 108, 
4829, 2012, 9, 4, 78, 
4830, 2012, 8, 4, 75, 
4831, 2007, 12, 4, 126, 
4832, 2004, 11, 4, 91, 
4833, 2012, 4, 0, 69, 
4834, 2009, 11, 5, 89, 
4835, 2006, 20, 4, 151, 
4836, 2006, 28, 14, 163, 
4837, 2002, 49, 22, 213, 
4838, 2001, 96, 30, 366, 
4839, 2012, 2, 0, 13, 
4840, 2007, 36, 23, 139, Arizona State University Tempe Arizona USA
4841, 2009, 8, 7, 28, 
4842, 1993, 98, 22, 395, 
4843, 2006, 36, 10, 134, Yale University New Haven Connecticut USA
4844, 2010, 19, 6, 88, 
4845, 2011, 12, 5, 52, University of Melbourne School of Computing and Information Systems Australia
4846, 2010, 16, 8, 60, 
4847, 1983, 89, 25, 264, University of Augsburg Germany
4848, 2010, 14, 7, 48, 
4849, 2002, 53, 15, 221, University of South Florida Tampa FL USA
4850, 2003, 155, 28, 596, 
4851, 2010, 63, 24, 219, University of Wisconsin Madison WI USA
4852, 2006, 15, 9, 56, 
4853, 2000, 168, 15, 639, 
4854, 2010, 5, 3, 19, 
4855, 2007, 25, 12, 125, 
4856, 2011, 22, 13, 82, 
4857, 2006, 60, 13, 237, 
4858, 2011, 17, 7, 68, 
4859, 2009, 22, 16, 57, 
4860, 1980, 139, 61, 391, University of Hagen Faculty of Mathematics and Computer Science
4861, 2003, 24, 7, 110, 
4862, 2010, 31, 12, 255, 
4863, 2010, 24, 4, 203, 
4864, 2012, 40, 19, 215, 
4865, 2012, 27, 9, 264, 
4866, 1993, 18, 4, 142, 
4867, 2002, 29, 13, 178, Uppsala University Sweden
4868, 2005, 23, 10, 150, 
4869, 2000, 25, 11, 83, 
4870, 1980, 99, 42, 428, Middle East Technical University
4871, 2007, 60, 24, 259, 
4872, 1998, 116, 22, 433, University of Pittsburgh Pennsylvania USA
4873, 1993, 137, 39, 465, University of Zurich Switzerland
4874, 2004, 35, 18, 130, Johannes Gutenberg University Mainz Germany
4875, 2008, 18, 14, 43, 
4876, 2001, 138, 12, 614, Ludwig Maximilian University of Munich Germany
4877, 2008, 58, 11, 323, 
4878, 2000, 67, 16, 375, 
4879, 2001, 74, 11, 357, 
4880, 1994, 367, 207, 1609, Free University of Bozen-Bolzano Italy
4881, 1992, 280, 94, 1065, Sapienza University of Rome Italy
4882, 1981, 273, 47, 1054, Sapienza University of Rome Italy
4883, 2004, 35, 10, 147, 
4884, 2006, 9, 4, 37, 
4885, 1995, 30, 9, 142, 
4886, 1994, 331, 8, 1654, University of Hong Kong
4887, 2012, 13, 5, 62, 
4888, 2004, 48, 20, 225, 
4889, 1985, 281, 29, 923, University of California Santa Barbara Department of Computer Science
4890, 2008, 48, 28, 155, Nanyang Technological Universty Singapore
4891, 2013, 6, 2, 32, 
4892, 2007, 14, 8, 61, 
4893, 1993, 56, 3, 244, 
4894, 2010, 6, 3, 58, 
4895, 2005, 48, 20, 176, 
4896, 2009, 10, 8, 29, 
4897, 2000, 225, 78, 1127, 
4898, 2009, 11, 0, 89, 
4899, 1984, 133, 130, 442, 
4900, 2006, 31, 8, 121, 
4901, 2010, 29, 12, 134, 
4902, 2010, 17, 2, 108, 
4903, 2011, 19, 13, 48, 
4904, 2011, 19, 7, 82, 
4905, 1993, 100, 22, 349, 
4906, 2006, 31, 5, 164, Technion - Israel Institute of Technology Haifa Israel
4907, 1996, 115, 15, 472, University of California Santa Cruz USA
4908, 2009, 41, 5, 170, University of Grenoble Laboratoire d'Informatique de Grenoble (LIG) France
4909, 2007, 46, 12, 201, 
4910, 2010, 18, 9, 60, 
4911, 2003, 39, 12, 115, 
4912, 2012, 14, 6, 70, 
4913, 2007, 10, 2, 52, 
4914, 1993, 78, 33, 370, 
4915, 2001, 27, 16, 134, 
4916, 2006, 86, 7, 420, 
4917, 2003, 48, 15, 215, 
4918, 2012, 6, 4, 27, 
4919, 2009, 27, 15, 84, 
4920, 2011, 7, 1, 39, 
4921, 2013, 3, 2, 18, 
4922, 1997, 114, 54, 336, University of Edinburgh UK
4923, 2013, 12, 8, 62, 
4924, 2006, 17, 7, 69, 
4925, 2010, 7, 5, 33, 
4926, 2011, 8, 3, 39, 
4927, 2013, 2, 1, 7, 
4928, 2011, 19, 0, 75, 
4929, 2012, 5, 1, 26, 
4930, 2004, 9, 8, 22, 
4931, 2005, 121, 40, 601, 
4932, 2013, 14, 7, 63, 
4933, 2008, 58, 11, 231, Aalborg University Denmark
4934, 2010, 26, 9, 122, 
4935, 2004, 31, 5, 159, Fudan University School of Computer Science Shanghai China
4936, 2001, 249, 99, 1107, 
4937, 2011, 11, 8, 35, 
4938, 2005, 47, 31, 163, Tsinghua University Beijing China
4939, 2012, 12, 4, 56, 
4940, 2009, 19, 8, 84, 
4941, 2013, 8, 7, 21, 
4942, 2013, 9, 4, 41, 
4943, 2007, 26, 10, 147, 
4944, 2011, 16, 8, 58, 
4945, 2008, 13, 5, 72, 
4946, 2007, 33, 10, 147, Microsoft Research Redmond WA USA
4947, 1997, 24, 3, 101, Technical University of Crete
4948, 2011, 29, 15, 120, 
4949, 2002, 56, 24, 226, Microsoft Research
4950, 1991, 73, 25, 250, 
4951, 2004, 18, 8, 76, 
4952, 2009, 16, 9, 63, Hewlett Packard Enterprise Labs Palo Alto CA USA
4953, 2013, 18, 3, 92, 
4954, 1998, 152, 49, 690, 
4955, 2013, 2, 2, 21, 
4956, 2010, 3, 0, 26, 
4957, 2013, 2, 0, 21, 
4958, 2008, 3, 0, 25, 
4959, 2008, 6, 0, 47, 
4960, 2011, 3, 0, 25, 
4961, 1998, 8, 1, 56, 
4962, 2012, 6, 2, 105, 
4963, 2013, 2, 0, 19, 
4964, 2013, 2, 0, 19, 
4965, 2002, 10, 1, 96, 
4966, 2003, 5, 1, 81, 
4967, 2012, 3, 0, 43, 
4968, 2012, 2, 0, 26, 
4969, 2009, 4, 0, 40, 
4970, 2003, 5, 1, 48, 
4971, 2007, 4, 1, 69, 
4972, 1998, 52, 13, 338, IBM Research
4973, 1992, 13, 9, 79, 
4974, 1993, 20, 9, 220, IBM Almaden Research Center San Jose USA
4975, 2013, 3, 0, 46, 
4976, 2013, 3, 0, 43, 
4977, 2002, 15, 5, 64, 
4978, 1976, 90, 19, 533, IBM Research
4979, 1998, 13, 0, 97, 
4980, 1998, 4, 0, 34, 
4981, 2000, 17, 0, 168, 
4982, 2001, 12, 1, 104, 
4983, 2000, 80, 34, 327, 
4984, 1995, 42, 5, 274, 
4985, 2002, 20, 6, 70, 
4986, 2004, 8, 1, 54, 
4987, 2003, 16, 8, 61, 
4988, 1995, 10, 3, 30, 
4989, 2003, 6, 2, 46, 
4990, 2013, 3, 0, 36, 
4991, 2005, 17, 7, 93, 
4992, 2004, 21, 7, 133, 
4993, 2006, 16, 3, 144, 
4994, 2013, 4, 1, 37, 
4995, 1995, 11, 3, 65, 
4996, 2006, 16, 6, 67, Department of Computer Science and Engineering Arizona State University
4997, 2003, 18, 6, 79, University of Florida Gainesville USA
4998, 2005, 18, 5, 219, 
4999, 1997, 6, 0, 26, 
5000, 2013, 5, 0, 24, 
5001, 2000, 44, 9, 302, 
5002, 1995, 67, 16, 392, IBM Research
5003, 2004, 15, 6, 85, 
5004, 1994, 16, 6, 67, 
5005, 1992, 18, 1, 104, 
5006, 2005, 63, 31, 270, Cisco Systems Inc
5007, 1997, 70, 25, 271, 
5008, 2011, 50, 23, 157, 
5009, 1987, 185, 5, 780, Politecnico di Milano Italy
5010, 2013, 7, 3, 38, University of Melbourne VIC Australia
5011, 2001, 263, 34, 1274, 
5012, 2000, 191, 85, 867, 
5013, 1997, 432, 183, 1809, 
5014, 2006, 60, 20, 189, 
5015, 1990, 212, 34, 617, 
5016, 2009, 14, 10, 68, 
5017, 2012, 3, 0, 18, 
5018, 2009, 6, 3, 18, Oracle Labs Zürich Switzerland
5019, 2013, 4, 1, 19, 
5020, 2006, 9, 5, 49, 
5021, 2010, 41, 14, 213, 
5022, 2013, 9, 6, 30, 
5023, 2012, 7, 4, 25, 
5024, 1999, 85, 12, 290, Bilkent University Ankara Turkey
5025, 2009, 7, 6, 25, 
5026, 2013, 9, 7, 27, 
5027, 2013, 3, 0, 10, 
5028, 2013, 2, 0, 8, 
5029, 2013, 12, 4, 55, 
5030, 2012, 42, 22, 188, University of Virginia
5031, 2009, 35, 10, 162, Microsoft Research Beijing China
5032, 2011, 6, 4, 17, 
5033, 2013, 14, 7, 62, 
5034, 2002, 62, 19, 225, Reutlingen University Data Management Lab
5035, 2011, 19, 8, 72, 
5036, 1979, 213, 36, 748, TU Darmstadt Department of Computer Science
5037, 1995, 191, 20, 702, University of California Riverside USA
5038, 2013, 13, 8, 60, 
5039, 2010, 10, 5, 61, 
5040, 2006, 29, 13, 108, 
5041, 2006, 5, 3, 15, 
5042, 2000, 30, 6, 161, 
5043, 2013, 10, 0, 31, 
5044, 2013, 10, 5, 99, 
5045, 2008, 2, 0, 7, 
5046, 2012, 16, 9, 85, 
5047, 2001, 104, 27, 556, 
5048, 2013, 5, 0, 42, 
5049, 2002, 56, 9, 295, 
5050, 1992, 185, 44, 726, Sapienza University of Rome Italy
5051, 2003, 42, 0, 273, 
5052, 2008, 52, 2, 319, Sapienza University of Rome Department of Computer Control and Management Engineering Italy
5053, 2002, 20, 0, 113, 
5054, 2006, 19, 12, 73, 
5055, 2012, 19, 5, 68, 
5056, 2008, 8, 5, 33, 
5057, 2004, 88, 25, 304, 
5058, 1986, 230, 27, 839, University of Pittsburgh Pennsylvania USA
5059, 2013, 7, 4, 24, 
5060, 2013, 4, 0, 10, 
5061, 2007, 26, 14, 106, 
5062, 2006, 14, 8, 65, 
5063, 2013, 2, 0, 8, 
5064, 2013, 8, 6, 34, 
5065, 2013, 2, 0, 11, 
5066, 2010, 32, 14, 136, 
5067, 1992, 544, 198, 2529, 
5068, 2002, 49, 12, 245, 
5069, 1997, 59, 19, 352, 
5070, 2007, 33, 8, 182, 
5071, 2013, 10, 3, 42, 
5072, 2012, 22, 8, 111, 
5073, 2012, 20, 15, 57, 
5074, 2004, 83, 35, 316, HP Labs USA
5075, 1992, 70, 17, 349, 
5076, 2000, 77, 29, 259, North Carolina State University Raleigh USA
5077, 2002, 15, 9, 36, 
5078, 2012, 47, 17, 217, 
5079, 2009, 13, 9, 67, 
5080, 2013, 13, 9, 47, 
5081, 2013, 12, 6, 57, 
5082, 2012, 12, 8, 29, Free University of Bolzano Italy
5083, 2012, 19, 12, 57, 
5084, 2013, 6, 2, 26, 
5085, 1996, 41, 9, 152, University of Lisbon Departament of Computer Science and Engineering
5086, 1991, 108, 21, 403, Columbia University New York City USA
5087, 2013, 4, 2, 44, 
5088, 2013, 26, 13, 117, 
5089, 2003, 55, 23, 241, 
5090, 2004, 284, 18, 1276, 
5091, 2007, 39, 30, 116, 
5092, 2009, 13, 8, 54, 
5093, 2012, 10, 5, 51, 
5094, 2013, 25, 17, 94, 
5095, 1999, 103, 7, 262, IBM Almaden Research Center San Jose USA
5096, 2002, 257, 40, 787, IBM Almaden Research Center
5097, 2012, 24, 13, 107, 
5098, 1999, 133, 39, 654, 
5099, 2012, 29, 15, 129, Hong Kong Baptist University
5100, 2007, 54, 29, 239, 
5101, 2008, 10, 10, 29, 
5102, 1993, 122, 14, 484, University of Genoa Italy
5103, 2010, 29, 17, 114, FIZ Karlsruhe - Leibniz Institute for Information Infrastructure Germany
5104, 2005, 81, 10, 344, Karlsruhe Institute of Technology Germany
5105, 2011, 28, 7, 100, Karlsruhe Institute of Technology IPD Germany
5106, 2005, 53, 12, 196, 
5107, 1987, 424, 58, 1627, Otto von Guericke University of Magdeburg Germany
5108, 2001, 81, 40, 513, 
5109, 2003, 101, 18, 414, 
5110, 2012, 23, 6, 113, 
5111, 2009, 13, 5, 69, 
5112, 2013, 3, 0, 17, 
5113, 1978, 33, 3, 163, Technical University Munich Germany
5114, 2013, 11, 6, 64, 
5115, 2013, 2, 2, 6, 
5116, 2004, 94, 32, 310, Imperial College London UK
5117, 2002, 116, 13, 577, Imperial College London UK
5118, 2007, 30, 11, 130, 
5119, 2013, 4, 0, 52, 
5120, 2006, 22, 13, 87, 
5121, 2003, 137, 34, 588, 
5122, 2002, 5, 1, 21, 
5123, 2009, 14, 7, 42, 
5124, 2002, 97, 19, 463, University of Luxembourg
5125, 2011, 10, 6, 37, 
5126, 2012, 5, 5, 12, 
5127, 1986, 125, 15, 455, University of Marburg Germany
5128, 2002, 54, 16, 211, University of California Irvine USA
5129, 1999, 86, 22, 274, Iowa State University Department of Computer Science Ames USA
5130, 2006, 40, 8, 146, 
5131, 2000, 104, 14, 289, Iowa State University Ames IA USA
5132, 2005, 50, 16, 254, 
5133, 2008, 33, 11, 131, 
5134, 2008, 34, 12, 223, 
5135, 2005, 12, 2, 66, Stanford University CA USA
5136, 2008, 40, 7, 302, 
5137, 2012, 17, 5, 73, 
5138, 2007, 79, 29, 322, 
5139, 2010, 8, 3, 40, 
5140, 1988, 156, 74, 584, 
5141, 2009, 38, 14, 166, 
5142, 1973, 141, 39, 429, University of Antwerp Belgium
5143, 1993, 67, 35, 145, Université de Mons Belgium
5144, 2000, 65, 15, 325, 
5145, 1988, 447, 164, 2071, 
5146, 1991, 292, 107, 1337, 
5147, 2003, 104, 30, 445, 
5148, 1995, 200, 24, 818, Hong Kong Baptist University Hong Kong
5149, 2007, 76, 6, 391, 
5150, 2003, 18, 5, 69, IIT Hyderabad India
5151, 2009, 10, 7, 62, 
5152, 2013, 15, 6, 48, Saarland University SIC Saarland University Germany
5153, 2010, 8, 5, 49, 
5154, 2003, 99, 14, 475, University of Michigan
5155, 2009, 9, 3, 34, 
5156, 2000, 125, 15, 471, 
5157, 2012, 7, 0, 57, 
5158, 2009, 38, 8, 178, National University of Defense Technology Science and Technology on Information Systems Engineering Laboratory Changsha China
5159, 2003, 25, 7, 118, CSIRO Intelligent Sensing and Systems Lab Australia
5160, 2001, 8, 2, 51, 
